,WindowSize,EmbedDimen,NegativeSample,TrainingDataSize,Accuracy,Loss,RunTime
0,2,2,4,34637,0.5617766380310059,1.1894716024398804,4
1,2,2,4,34962,0.8419053554534912,0.7041458487510681,4
2,2,2,4,35514,0.9402126669883728,0.40760475397109985,5
3,2,2,4,34799,0.9767433404922485,0.21910621225833893,9
4,2,2,4,35163,0.9822048544883728,0.13634365797042847,18
5,3,3,4,44740,0.5579618811607361,1.1852749586105347,4
6,3,3,4,44615,0.8386948704719543,0.6901013255119324,5
7,3,3,4,43999,0.9381893277168274,0.3927256166934967,7
8,3,3,4,44401,0.9725987911224365,0.21555989980697632,11
9,3,3,4,44786,0.9791762232780457,0.13557729125022888,15
10,4,4,4,49889,0.5413753986358643,1.2025068998336792,4
11,4,4,4,49809,0.8377878069877625,0.6797627210617065,5
12,4,4,4,49302,0.9369346499443054,0.3949483633041382,8
13,4,4,4,49656,0.9686214923858643,0.2181026041507721,12
14,4,4,4,49948,0.9748347401618958,0.1422657072544098,20
15,5,5,4,52195,0.5303955078125,1.2101880311965942,5
16,5,5,4,52032,0.824951171875,0.7043178081512451,8
17,5,5,4,51837,0.9320312738418579,0.3993488550186157,8
18,5,5,4,51868,0.968066394329071,0.21775908768177032,12
19,5,5,4,51578,0.9718993902206421,0.14781203866004944,25
20,2,2,8,34981,0.4099392294883728,1.7356646060943604,4
21,2,2,8,34882,0.7046802639961243,1.140647292137146,5
22,2,2,8,34679,0.8658854365348816,0.7041052579879761,7
23,2,2,8,34827,0.9346426725387573,0.4063560962677002,10
24,2,2,8,34315,0.9498572945594788,0.2690781354904175,16
25,3,3,8,44603,0.39869600534439087,1.7406264543533325,5
26,3,3,8,43749,0.702751636505127,1.1276379823684692,7
27,3,3,8,44262,0.8604951500892639,0.698661744594574,8
28,3,3,8,44904,0.9215123057365417,0.41629359126091003,13
29,3,3,8,44411,0.9342543482780457,0.293569952249527,23
30,4,4,8,49078,0.3808336853981018,1.7675096988677979,5
31,4,4,8,49540,0.7015830874443054,1.1246832609176636,7
32,4,4,8,49804,0.8544151186943054,0.6992532014846802,9
33,4,4,8,49459,0.9156044125556946,0.42240193486213684,14
34,4,4,8,49145,0.9272717833518982,0.30480504035949707,24
35,5,5,8,51608,0.3879638612270355,1.7625157833099365,5
36,5,5,8,52374,0.6982177495956421,1.1187446117401123,7
37,5,5,8,51857,0.8467041254043579,0.7054686546325684,9
38,5,5,8,51750,0.909228503704071,0.4331677556037903,14
39,5,5,8,51528,0.922656238079071,0.30909082293510437,25
40,2,2,16,34736,0.29499420523643494,2.3398172855377197,4
41,2,2,16,34765,0.5483940839767456,1.673232078552246,8
42,2,2,16,35476,0.7528935074806213,1.1082247495651245,7
43,2,2,16,34987,0.8556134104728699,0.683795690536499,11
44,2,2,16,35303,0.8775318264961243,0.48897984623908997,20
45,3,3,16,44907,0.2854631841182709,2.3509581089019775,5
46,3,3,16,43942,0.5416474938392639,1.658178687095642,8
47,3,3,16,44138,0.7369887232780457,1.1069767475128174,9
48,3,3,16,45029,0.8356584906578064,0.7048304677009583,17
49,3,3,16,44153,0.8568761348724365,0.5211566090583801,28
50,4,4,16,49392,0.27189555764198303,2.3743088245391846,5
51,4,4,16,49718,0.5412983298301697,1.6521751880645752,7
52,4,4,16,49991,0.7344250679016113,1.1032663583755493,10
53,4,4,16,49945,0.8228164911270142,0.7236475348472595,18
54,4,4,16,49417,0.8418739438056946,0.5481934547424316,30
55,5,5,16,52099,0.26713865995407104,2.387336492538452,5
56,5,5,16,52762,0.5312261581420898,1.6532970666885376,10
57,5,5,16,52037,0.7273925542831421,1.1153929233551025,14
58,5,5,16,51394,0.818041980266571,0.7275627851486206,18
59,5,5,16,52637,0.8291015625,0.5717401504516602,37
60,2,2,32,34547,0.23471304774284363,2.9531137943267822,5
61,2,2,32,34937,0.37301069498062134,2.2754673957824707,7
62,2,2,32,34861,0.5884331464767456,1.599755048751831,12
63,2,2,32,34822,0.7536892294883728,1.0262304544448853,18
64,2,2,32,34631,0.7837456464767456,0.7575657963752747,36
65,3,3,32,43868,0.21771599352359772,2.9973719120025635,7
66,3,3,32,44407,0.3715245723724365,2.2419073581695557,10
67,3,3,32,44327,0.5874310731887817,1.5847337245941162,16
68,3,3,32,44122,0.7238338589668274,1.062248706817627,29
69,3,3,32,43932,0.7470703125,0.840200662612915,46
70,4,4,32,50263,0.21469351649284363,2.9842066764831543,6
71,4,4,32,49998,0.3703675866127014,2.239626407623291,12
72,4,4,32,49771,0.5809518694877625,1.5913405418395996,18
73,4,4,32,49693,0.7063117027282715,1.093102216720581,24
74,4,4,32,49487,0.7308542132377625,0.8799639344215393,41
75,5,5,32,51560,0.21108397841453552,2.988492488861084,7
76,5,5,32,52079,0.36420899629592896,2.25115966796875,9
77,5,5,32,51402,0.5804198980331421,1.5906745195388794,15
78,5,5,32,51521,0.6943114995956421,1.1140340566635132,25
79,5,5,32,51910,0.718432605266571,0.9057954549789429,44
